Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,AssetPerMember,ExpensesToNetAssetsRatio,Liquidity Ratio,Overall Risk Score,ReturnOn Investment,UnremmittedContributions/Total Assets,Compliance toTable G,Inflation,Interest_rates,Exchange_rates
241,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,0,600," 863,882,153.00 "," 1,439,803.59 ",1%,13%,#N/A,5%,0%,0,7%,13%,151.77
241,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,599," 1,127,661,886.00 "," 1,882,574.10 ",1%,17%,2.5,16%,0%,1,#N/A,#N/A,151.77
25,Transitioning,Defined Benefit,,,,#N/A,0," 50,467,214.00 ", -   ,16%,168%,#N/A,98%,0%,#N/A,#N/A,#N/A,1262.07
26,Transitioning,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,4," 2,644,210.00 "," 661,052.50 ",6%,53%,#N/A,11%,0%,0,7%,10%,101.78
26,Transitioning,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,4," 2,613,638.00 "," 653,409.50 ",4%,117%,#N/A,7%,0%,0,7%,13%,103.78
26,Transitioning,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,4," 2,821,129.00 "," 705,282.25 ",1%,15%,#N/A,9%,0%,0,7%,10%,101.78
26,Transitioning,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,4," 3,046,580.00 "," 761,645.00 ",2%,24%,#N/A,10%,0%,0,5%,10%,103.37
276,Transitioning,Defined Contribution,Provident Fund,Segregated funds,2015,0,1," 3,502,516.00 "," 3,502,516.00 ",6%,19%,#N/A,30%,0%,0,7%,13%,103.78
276,Transitioning,Defined Contribution,Provident Fund,Segregated funds,2016,0,1," 4,013,164.00 "," 4,013,164.00 ",9%,41%,#N/A,22%,0%,0,7%,10%,101.78
276,Transitioning,Defined Contribution,Provident Fund,Segregated funds,2017,0,1," 4,543,767.00 "," 4,543,767.00 ",5%,29%,#N/A,16%,0%,0,5%,10%,103.37
276,Transitioning,Defined Contribution,Provident Fund,Segregated funds,2018,0,1," 5,298,640.00 "," 5,298,640.00 ",3%,19%,#N/A,18%,0%,0,6%,9%,101.88
276,Transitioning,Defined Contribution,Provident Fund,Segregated funds,2019,0,1," 6,034,110.00 "," 6,034,110.00 ",3%,18%,#N/A,15%,0%,0,5%,9%,102.55
276,Transitioning,Defined Contribution,Provident Fund,Segregated funds,2020,0,1," 6,547,151.00 "," 6,547,151.00 ",2%,24%,#N/A,10%,0%,0,5%,7%,109.51
276,Transitioning,Defined Contribution,Provident Fund,Segregated funds,2021,#N/A,3," 807,172.00 "," 269,057.33 ",19%,969%,#N/A,82%,0%,#N/A,6%,7%,111.93
276,Transitioning,Defined Contribution,Provident Fund,Segregated funds,2022,#N/A,3," 1,101,188.00 "," 367,062.67 ",14%,35%,#N/A,41%,0%,#N/A,9%,9%,121.95
276,Transitioning,Defined Contribution,Provident Fund,Segregated funds,2023,#N/A,3," 1,048,338.00 "," 349,446.00 ",11%,184%,#N/A,6%,0%,#N/A,7%,13%,151.77
276,Transitioning,Defined Contribution,Provident Fund,Segregated funds,2024,#N/A,3," 1,117,086.00 "," 372,362.00 ",10%,63%,#N/A,17%,0%,#N/A,#N/A,#N/A,151.77
277,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,734," 598,381,365.00 "," 815,233.47 ",1%,36%,#N/A,14%,0%,0,7%,10%,101.78
277,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,0," 564,653,177.00 ", -   ,1%,166%,#N/A,0%,0%,0,7%,13%,103.78
277,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,984," 597,581,176.00 "," 607,297.94 ",1%,67%,#N/A,8%,0%,0,7%,10%,101.78
277,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,976," 721,234,353.00 "," 738,969.62 ",1%,26%,#N/A,15%,0%,0,5%,10%,103.37
277,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,1051," 759,465,128.00 "," 722,611.92 ",1%,56%,#N/A,7%,0%,0,6%,9%,101.88
277,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,1029," 820,497,546.00 "," 797,373.71 ",1%,67%,#N/A,15%,0%,0,5%,9%,102.55
277,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,946," 578,740,971.00 "," 611,776.92 ",1%,640%,#N/A,4%,0%,0,5%,7%,109.51
277,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,871," 594,920,056.00 "," 683,031.06 ",1%,79%,3.1,11%,0%,5,6%,7%,111.93
277,Active,Defined Contribution,Provident Fund,Segregated funds,2022,5,859," 586,950,353.00 "," 683,294.94 ",1%,114%,3.82,3%,0%,5,9%,9%,121.95
277,Active,Defined Contribution,Provident Fund,Segregated funds,2023,0,785," 581,589,402.00 "," 740,878.22 ",1%,111%,#N/A,1%,0%,0,7%,13%,151.77
277,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,757," 778,739,652.00 "," 1,028,718.17 ",1%,15%,2.91,23%,0%,1,#N/A,#N/A,151.77
278,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,24," 106,125,000.00 "," 4,421,875.00 ",1%,87%,#N/A,12%,0%,0,7%,10%,101.78
278,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,17," 108,515,000.00 "," 6,383,235.29 ",3%,69%,#N/A,7%,0%,0,7%,13%,103.78
278,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,11," 84,294,000.00 "," 7,663,090.91 ",2%,284%,#N/A,16%,0%,0,7%,10%,101.78
278,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,9," 87,888,000.00 "," 9,765,333.33 ",2%,72%,#N/A,14%,0%,0,5%,10%,103.37
278,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,6," 21,195,000.00 "," 3,532,500.00 ",7%,1809%,#N/A,21%,0%,0,5%,9%,102.55
278,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,4," 17,016,000.00 "," 4,254,000.00 ",7%,232%,#N/A,19%,0%,0,5%,7%,109.51
278,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,3," 16,285,000.00 "," 5,428,333.33 ",7%,135%,3.38,13%,0%,5,6%,7%,111.93
278,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,3," 17,250,000.00 "," 5,750,000.00 ",3%,36%,3.02,9%,0%,5,9%,9%,121.95
278,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,2," 17,386,000.00 "," 8,693,000.00 ",2%,86%,3.06,6%,0%,5,7%,13%,151.77
278,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,2," 21,780,000.00 "," 10,890,000.00 ",2%,8%,3.06,22%,0%,5,#N/A,#N/A,151.77
280,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,594," 474,295,826.00 "," 798,477.82 ",0%,10%,#N/A,13%,0%,0,7%,10%,101.78
280,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,549," 455,236,777.00 "," 829,210.89 ",0%,143%,#N/A,-1%,0%,0,7%,13%,103.78
280,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,544," 511,172,127.00 "," 939,654.65 ",1%,37%,#N/A,6%,0%,0,7%,10%,101.78
280,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,569," 623,068,276.00 "," 1,095,023.33 ",1%,32%,#N/A,15%,0%,0,5%,10%,103.37
280,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,608," 677,610,308.00 "," 1,114,490.64 ",1%,44%,#N/A,5%,0%,0,6%,9%,101.88
280,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,415," 817,531,713.00 "," 1,969,955.93 ",1%,32%,#N/A,15%,0%,0,5%,9%,102.55
280,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,581," 847,812,710.00 "," 1,459,230.14 ",1%,72%,#N/A,5%,0%,0,5%,7%,109.51
280,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,708," 1,001,739,725.00 "," 1,414,886.62 ",1%,23%,2.61,12%,0%,1,6%,7%,111.93
280,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,343," 886,377,867.00 "," 2,584,192.03 ",1%,200%,2.62,4%,0%,5,9%,9%,121.95
280,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,335," 925,684,570.00 "," 2,763,237.52 ",1%,65%,2.32,3%,0%,5,7%,13%,151.77
280,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,332," 1,190,419,235.00 "," 3,585,600.11 ",1%,26%,3.02,22%,0%,5,#N/A,#N/A,151.77
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,0," 612,199,376.00 ", -   ,1%,15%,#N/A,12%,0%,0,7%,10%,101.78
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,0," 655,752,439.00 ", -   ,1%,43%,#N/A,4%,0%,0,7%,13%,103.78
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,0," 708,642,029.00 ", -   ,1%,49%,#N/A,7%,0%,0,7%,10%,101.78
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,0," 821,967,079.00 ", -   ,1%,39%,#N/A,16%,0%,0,5%,10%,103.37
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,230," 814,496,890.00 "," 3,541,290.83 ",1%,109%,#N/A,3%,0%,0,6%,9%,101.88
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,227," 968,950,025.00 "," 4,268,502.31 ",1%,31%,#N/A,17%,0%,0,5%,9%,102.55
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,220," 1,098,302,267.00 "," 4,992,283.03 ",1%,17%,#N/A,8%,0%,0,5%,7%,109.51
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,0," 1,274,170,916.00 ", -   ,1%,22%,3.88,12%,0%,1,6%,7%,111.93
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,203," 1,197,798,881.00 "," 5,900,487.10 ",1%,226%,3.3,-1%,0%,1,9%,9%,121.95
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,0,191," 1,192,319,237.00 "," 6,242,509.09 ",1%,108%,#N/A,0%,0%,0,7%,13%,151.77
282,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,172," 1,351,243,351.00 "," 7,856,065.99 ",1%,62%,4.02,26%,0%,1,#N/A,#N/A,151.77
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,112," 27,476,117.00 "," 245,322.47 ",0%,63%,#N/A,11%,0%,0,7%,10%,101.78
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,231," 30,882,769.00 "," 133,691.64 ",0%,43%,#N/A,11%,0%,0,7%,13%,103.78
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,370," 34,512,052.00 "," 93,275.82 ",1%,29%,#N/A,8%,0%,0,7%,10%,101.78
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,370," 34,455,134.00 "," 93,121.98 ",0%,101%,#N/A,8%,0%,0,5%,10%,103.37
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,139," 37,041,992.00 "," 266,489.15 ",0%,61%,#N/A,10%,0%,0,6%,9%,101.88
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,182," 40,728,644.00 "," 223,783.76 ",0%,40%,#N/A,8%,0%,0,5%,9%,102.55
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,190," 43,620,205.00 "," 229,580.03 ",0%,58%,#N/A,10%,0%,0,5%,7%,109.51
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,200," 46,857,265.00 "," 234,286.33 ",0%,49%,2.64,7%,0%,5,6%,7%,111.93
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,239," 51,885,597.00 "," 217,094.55 ",0%,40%,2.56,8%,0%,5,9%,9%,121.95
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,0,248," 57,951,877.00 "," 233,676.92 ",0%,27%,#N/A,6%,0%,0,7%,13%,151.77
286,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,279," 62,992,808.00 "," 225,780.67 ",0%,54%,2.22,10%,0%,1,#N/A,#N/A,151.77
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,74," 33,728,741.00 "," 455,793.80 ",0%,99%,#N/A,11%,0%,0,7%,10%,101.78
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,92," 39,293,898.00 "," 427,107.59 ",0%,40%,#N/A,7%,0%,0,7%,13%,103.78
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,125," 47,574,166.00 "," 380,593.33 ",0%,32%,#N/A,8%,0%,0,7%,10%,101.78
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,51," 51,590,869.00 "," 1,011,585.67 ",0%,67%,#N/A,9%,0%,0,5%,10%,103.37
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,123," 52,093,408.00 "," 423,523.64 ",0%,95%,#N/A,9%,0%,0,6%,9%,101.88
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,57," 53,903,310.00 "," 945,672.11 ",0%,85%,#N/A,10%,0%,0,5%,9%,102.55
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,33," 56,650,529.00 "," 1,716,682.70 ",0%,77%,#N/A,8%,0%,0,5%,7%,109.51
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,89," 54,105,849.00 "," 607,930.89 ",1%,124%,2.8,8%,0%,5,6%,7%,111.93
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,153," 66,891,810.00 "," 437,201.37 ",1%,14%,2.44,6%,0%,5,9%,9%,121.95
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,153," 85,863,472.00 "," 561,199.16 ",0%,18%,3.24,8%,0%,5,7%,13%,151.77
287,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,235," 108,796,160.00 "," 462,962.38 ",1%,30%,2.01,10%,0%,1,#N/A,#N/A,151.77
289,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,0," 569,574,081.00 ", -   ,1%,133%,#N/A,1%,0%,0,7%,13%,103.78
289,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,0," 631,371,832.00 ", -   ,1%,50%,#N/A,8%,0%,0,7%,10%,101.78
289,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,1660," 726,544,144.00 "," 437,677.20 ",1%,47%,#N/A,16%,0%,0,5%,10%,103.37
289,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,0," 738,978,258.00 ", -   ,1%,90%,#N/A,8%,0%,0,6%,9%,101.88
289,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,0," 841,141,520.00 ", -   ,1%,51%,#N/A,16%,0%,0,5%,9%,102.55
289,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,0," 836,029,673.00 ", -   ,1%,104%,#N/A,7%,0%,0,5%,7%,109.51
289,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,0," 947,293,370.02 ", -   ,1%,39%,1.88,10%,0%,1,6%,7%,111.93
289,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,856," 985,226,682.00 "," 1,150,965.75 ",1%,72%,2.28,3%,0%,1,9%,9%,121.95
289,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,862," 1,034,322,611.00 "," 1,199,910.22 ",1%,67%,2.04,2%,0%,1,7%,13%,151.77
289,Active,Defined Contribution,Provident Fund,Segregated funds,2024,5,881," 1,423,683,081.00 "," 1,615,985.34 ",1%,18%,3.12,22%,0%,1,#N/A,#N/A,151.77
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,160," 102,358,535.00 "," 639,740.84 ",1%,38%,#N/A,16%,2%,0,7%,10%,101.78
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,82," 103,852,602.00 "," 1,266,495.15 ",2%,93%,#N/A,12%,0%,0,7%,13%,103.78
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,68," 98,758,314.00 "," 1,452,328.15 ",1%,168%,#N/A,-1%,0%,0,7%,10%,101.78
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,64," 98,277,145.00 "," 1,535,580.39 ",2%,103%,#N/A,9%,0%,0,5%,10%,103.37
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,126," 92,943,121.00 "," 737,643.82 ",1%,119%,#N/A,25%,0%,0,6%,9%,101.88
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,136," 88,355,826.00 "," 649,675.19 ",2%,144%,#N/A,7%,0%,0,5%,9%,102.55
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,118," 84,841,992.00 "," 718,999.93 ",2%,133%,#N/A,7%,0%,0,5%,7%,109.51
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,149," 93,504,494.00 "," 627,546.94 ",2%,47%,3.28,13%,0%,1,6%,7%,111.93
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,138," 100,681,134.00 "," 729,573.43 ",3%,46%,3.06,9%,0%,1,9%,9%,121.95
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,5,138," 104,440,833.00 "," 756,817.63 ",3%,56%,3.84,4%,0%,1,7%,13%,151.77
290,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,135," 101,569,659.00 "," 752,367.84 ",2%,128%,3.84,6%,0%,1,#N/A,#N/A,151.77
292,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,0," 49,453,172.00 ", -   ,0%,5%,#N/A,7%,0%,0,7%,13%,103.78
292,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,15," 60,030,047.00 "," 4,002,003.13 ",0%,17%,#N/A,8%,0%,0,7%,10%,101.78
292,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,19," 74,914,339.00 "," 3,942,859.95 ",0%,13%,#N/A,9%,0%,0,5%,10%,103.37
292,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,20," 47,700,471.00 "," 2,385,023.55 ",0%,281%,#N/A,12%,0%,0,6%,9%,101.88
292,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,16," 54,884,944.00 "," 3,430,309.00 ",0%,52%,#N/A,10%,0%,0,5%,9%,102.55
292,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,0," 66,652,915.00 ", -   ,0%,30%,#N/A,7%,0%,0,5%,7%,109.51
292,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,34," 76,989,053.00 "," 2,264,383.91 ",0%,49%,2.72,8%,0%,5,6%,7%,111.93
292,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,18," 86,338,861.00 "," 4,796,603.39 ",0%,56%,2.36,6%,0%,5,9%,9%,121.95
292,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,0," 101,812,056.00 ", -   ,0%,40%,2.36,9%,0%,5,7%,13%,151.77
292,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,54," 128,343,787.00 "," 2,376,736.80 ",0%,21%,2.97,10%,0%,1,#N/A,#N/A,151.77
294,Transitioning,Defined Benefit,,,,0,22," 16,586,422.00 "," 753,928.27 ",5%,38%,#N/A,14%,0%,0,7%,10%,101.78
297,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,4506," 15,215,231,000.00 "," 3,376,660.23 ",0%,34%,#N/A,9%,0%,0,7%,13%,103.78
297,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,5316," 15,984,474,000.00 "," 3,006,861.17 ",1%,48%,#N/A,2%,0%,0,7%,10%,101.78
297,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,5705," 18,078,612,000.00 "," 3,168,906.57 ",1%,32%,#N/A,10%,0%,0,5%,10%,103.37
297,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,5886," 19,922,326,000.00 "," 3,384,696.91 ",1%,52%,#N/A,10%,0%,0,6%,9%,101.88
297,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,5059," 20,933,192,000.00 "," 4,137,812.22 ",1%,62%,#N/A,6%,0%,0,5%,9%,102.55
297,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,4984," 22,181,578,000.00 "," 4,450,557.38 ",1%,59%,#N/A,7%,0%,0,5%,7%,109.51
297,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,5509," 24,587,279,000.00 "," 4,463,111.09 ",0%,46%,3.44,13%,0%,1,6%,7%,111.93
297,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,7732," 24,404,198,000.00 "," 3,156,259.44 ",1%,106%,3.76,2%,0%,5,9%,9%,121.95
297,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,0,8015," 25,547,733,000.00 "," 3,187,490.08 ",1%,64%,#N/A,5%,0%,0,7%,13%,151.77
297,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,8476," 28,723,006,000.00 "," 3,388,745.40 ",0%,38%,3.09,11%,0%,1,#N/A,#N/A,151.77
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,0," 1,710,766,000.00 ", -   ,1%,29%,#N/A,12%,0%,0,7%,10%,101.78
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,0," 1,782,516,000.00 ", -   ,1%,72%,#N/A,7%,0%,0,7%,13%,103.78
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,641," 1,971,262,572.00 "," 3,075,292.62 ",1%,31%,#N/A,7%,0%,0,7%,10%,101.78
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,646," 2,371,550,000.00 "," 3,671,130.03 ",1%,22%,#N/A,15%,0%,0,5%,10%,103.37
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,0," 2,546,678,000.00 ", -   ,1%,35%,#N/A,4%,0%,0,6%,9%,101.88
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,440," 3,359,928,000.00 "," 7,636,200.00 ",1%,-15%,#N/A,16%,0%,0,5%,9%,102.55
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,793," 3,557,021,000.00 "," 4,485,524.59 ",1%,56%,#N/A,7%,0%,0,5%,7%,109.51
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,745," 3,972,904,000.00 "," 5,332,757.05 ",1%,35%,3.28,11%,0%,1,6%,7%,111.93
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,724," 3,773,034,000.00 "," 5,211,372.93 ",1%,222%,2.96,-1%,0%,1,9%,9%,121.95
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,0,670," 3,813,884,000.00 "," 5,692,364.18 ",1%,82%,#N/A,1%,0%,0,7%,13%,151.77
299,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,702," 4,787,977,570.00 "," 6,820,480.87 ",1%,25%,3.02,23%,0%,1,#N/A,#N/A,151.77
30,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,34000," 27,926,110,420.00 "," 821,356.19 ",6%,41%,#N/A,7%,1%,0,7%,10%,101.78
30,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,41257," 31,053,964,949.00 "," 752,695.66 ",4%,61%,#N/A,5%,3%,0,5%,10%,103.37
30,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,44477," 31,675,783,286.00 "," 712,183.45 ",12%,101%,#N/A,11%,51%,0,6%,9%,101.88
30,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,52463," 34,872,641,437.00 "," 664,709.25 ",3%,60%,#N/A,4%,4%,0,5%,9%,102.55
30,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,57425," 43,350,450,348.00 "," 754,905.54 ",2%,55%,#N/A,2%,2%,0,5%,7%,109.51
30,Active,Defined Contribution,Provident Fund,Segregated funds,2021,5,60746," 52,039,366,915.25 "," 856,671.50 ",2%,55%,4.4,4%,3%,1,6%,7%,111.93
30,Active,Defined Contribution,Provident Fund,Segregated funds,2022,5,65621," 56,743,805,652.00 "," 864,720.22 ",1%,82%,4.16,3%,2%,5,9%,9%,121.95
30,Active,Defined Contribution,Provident Fund,Segregated funds,2023,5,67210," 62,671,737,958.00 "," 932,476.39 ",2%,119%,3.9,1%,89%,1,7%,13%,151.77
30,Active,Defined Contribution,Provident Fund,Segregated funds,2024,5,86527," 66,315,440,687.00 "," 766,413.27 ",2%,65%,3.73,2%,10%,1,#N/A,#N/A,151.77
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,619," 1,299,648,626.00 "," 2,099,593.90 ",0%,-70%,#N/A,11%,0%,0,7%,10%,101.78
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,655," 1,436,097,194.00 "," 2,192,514.80 ",0%,48%,#N/A,8%,0%,0,7%,13%,103.78
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,840," 1,478,347,144.00 "," 1,759,937.08 ",0%,85%,#N/A,9%,0%,0,7%,10%,101.78
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,703," 1,664,779,659.00 "," 2,368,107.62 ",0%,42%,#N/A,9%,0%,0,5%,10%,103.37
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,623," 1,904,697,872.00 "," 3,057,299.96 ",0%,30%,#N/A,8%,0%,0,6%,9%,101.88
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,632," 2,217,627,430.00 "," 3,508,904.16 ",0%,24%,#N/A,9%,0%,0,5%,9%,102.55
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,614," 2,360,532,942.00 "," 3,844,516.19 ",0%,63%,#N/A,8%,0%,0,5%,7%,109.51
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,637," 2,662,558,554.00 "," 4,179,840.74 ",0%,34%,3.35,9%,0%,5,6%,7%,111.93
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,577," 2,975,871,706.00 "," 5,157,489.96 ",1%,27%,2.25,6%,0%,5,9%,9%,121.95
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,601," 3,310,361,337.00 "," 5,508,088.75 ",0%,42%,2.85,9%,0%,5,7%,13%,151.77
303,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,658," 3,696,207,733.00 "," 5,617,336.98 ",0%,46%,2.83,11%,0%,1,#N/A,#N/A,151.77
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,229," 432,256,360.00 "," 1,887,582.36 ",0%,41%,#N/A,10%,0%,0,7%,10%,101.78
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,225," 450,242,755.00 "," 2,001,078.91 ",0%,70%,#N/A,7%,0%,0,7%,13%,103.78
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,245," 492,917,440.00 "," 2,011,907.92 ",0%,38%,#N/A,8%,0%,0,7%,10%,101.78
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,229," 540,926,421.00 "," 2,362,124.11 ",0%,40%,#N/A,9%,0%,0,5%,10%,103.37
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,233," 612,330,250.00 "," 2,628,026.82 ",0%,14%,#N/A,8%,0%,0,6%,9%,101.88
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,237," 692,092,760.00 "," 2,920,222.62 ",0%,21%,#N/A,9%,0%,0,5%,9%,102.55
